	origin	hypocotyl_color_18_indiv	SeedToBloom_18_indiv	SeedToBegMat_18_indiv	SeedToFullMat_18_indiv	plant_height_18_indiv	habitus_18_indiv	pod_length_18_indiv	pod_per_plant_18_indiv	seeds_per_plant_18_indiv	mass_100_seeds_18_indiv	productivity_18_indiv	seed_mass_per_plot_18_indiv	yield_18_indiv	hypocotyl_color_18_aver	SeedToBloom_18_aver	SeedToBegMat_18_aver	SeedToFullMat_18_aver	plant_height_18_aver	habitus_18_aver	pod_length_18_aver	pod_per_plant_18_aver	seeds_per_plant_18_aver	mass_100_seeds_18_aver	productivity_18_aver	seed_mass_per_plot_18_aver	yield_18_aver	hypocotyl_color_20_aver	SeedToBloom_20_aver	SeedToBegMat_20_aver	SeedToFullMat_20_aver	plant_height_20_aver	habitusInFlow_20_aver	habitusInMatur_20_aver	pod_length_20_aver	pod_per_plant_20_aver	seeds_per_plant_20_aver	mass_100_seeds_20_aver	productivity_20_aver	seed_mass_per_plot_20_aver	plant_square_20_aver	plot_square_20_aver	yield_20_aver	Longitude	Latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	altitude
acc1677202	Australia	0	59	77	84	90	0.5	10	94	733	6.54	0.05	0.48	0.23	0	59	77	84	90	0.5	10	94	733	6.54	0.05	0.48	0.23	1	51	68	79	72	1	1	8.8	55	440	5.9	28	354	0.42	4.2	0.084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677203	Kenya	0	42	59	66	60	0.5	7	180	894	3.8	0.03	0.34	0.2	0	42	59	66	60	0.5	7	180	894	3.8	0.03	0.34	0.2	0	40	52	63	47	1	0.5	7.4	65	501	4.39	24	343	0.42	4.2	0.081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677204	Kenya	0	63	100	110	70	1	7.5	10	54	5.5	0	0.04	0.01	0	63	100	110	70	1	7.5	10	54	5.5	0	0.04	0.01	1	62	86	98	78	0.5	0.5	6.7	37	167	4.13	10	24	1.05	4.2	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677205	Kenya	1	57	75	84	110	1	10	78	694	6.62	0.05	0.46	0.17	1	57	75	84	110	1	10	78	694	6.62	0.05	0.46	0.17	0	51	68	74	64	1	1	8.2	34	279	7.6	19	468	0.42	4.2	0.111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677206	Kenya	0	59	80	92	80	1	8	57	439	8.65	0.04	0.4	0.14	0	59	80	92	80	1	8	57	439	8.65	0.04	0.4	0.14	0	70	95	105	124	0.5	0.75	8.8	27	107	7.05	9	76	0.42	4.2	0.018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677207	Kazakhstan	0	88	117	127	140	0	7	20	123	7.31	0.01	0.11	0.09	0	88	117	127	140	0	7	20	123	7.31	0.01	0.11	0.09	1	74	95	105	125	0	0	9.9	91	372	5.22	21	80	0.42	4.2	0.019	68.2581	43.1521	125	136	30	10935	363	-78	441	65	244	263	-20	213	32	1	64	86	6	10	79	188
acc1677208	Kazakhstan	1	84	103	120	100	0.5	6.5	17	74	6.75	0.01	0.06	0.05	1	84	103	120	100	0.5	6.5	17	74	6.75	0.01	0.06	0.05	1	78	95	105	126	0	0	10.4	91	404	5.94	26	123	0.42	4.2	0.029	69.0851	43.0631	124	134	30	10628	357	-76	433	64	240	258	-17	272	43	1	63	113	7	12	98	275
acc1677209	Kazakhstan	1	65	86	103	75	0.5	8	20	106	6.6	0.01	0.08	0.05	1	65	86	103	75	0.5	8	20	106	6.6	0.01	0.08	0.05	1	61	86	96	92	0.5	0.5	8	39	234	4.84	14	76	0.42	4.2	0.018	69.4133	41.5295	137	129	32	9263	352	-42	394	83	240	256	16	464	78	3	64	198	14	22	169	534
acc1677210	Kazakhstan	1	49	63	71	75	1	9	115	841	3.8	0.03	0.32	0.11	1	49	63	71	75	1	9	115	841	3.8	0.03	0.32	0.11	1	46	69	78	88	1	1	7.2	121	476	3.27	16	295	0.42	4.2	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677211	North Korea	1	55	71	78	86	1	8	28	175	4.57	0.01	0.1	0.035	1	55	71	78	86	1	8	28	175	4.57	0.01	0.1	0.035	1	52	80	92	82	1	1	6.1	175	1020	4.11	44	118	0.42	4.2	0.028	127.0392	35.8987	130	100	27	9379	305	-54	359	248	7	248	7	1263	275	34	73	664	109	664	109	4
acc1677212	North Korea	1	87	110	116	100	0.5	7	76	506	4.94	0.03	0.25	0.1	1	87	110	116	100	0.5	7	76	506	4.94	0.03	0.25	0.1	1	67	89	100	110	0.5	0.75	7.2	97	493	4.86	26	75	0.42	4.2	0.017	127.0392	35.8987	130	100	27	9379	305	-54	359	248	7	248	7	1263	275	34	73	664	109	664	109	4
acc1677213	North Korea	1	70	103	110	140	0	7.5	48	370	6.48	0.02	0.24	0.09	1	70	103	110	140	0	7.5	48	370	6.48	0.02	0.24	0.09	1	73	91	103	88	0.5	0	11.5	257	1724	4.87	86	183	2.2	4.2	0.043	127.0392	35.8987	130	100	27	9379	305	-54	359	248	7	248	7	1263	275	34	73	664	109	664	109	4
acc1677214	Tajikistan	1	60	100	112	140	0	10	54	290	6.2	0.02	0.2	0.07	1	60	100	112	140	0	10	54	290	6.2	0.02	0.2	0.07	1	64	81	91	78	0.5	0.75	8.6	10	69	4.88	5	87	0.42	4.2	0.02	71.003	38.0116	-40	95	25	8849	146	-224	370	-49	66	70	-158	932	157	10	62	430	47	75	292	4087
acc1677215	Tajikistan	1	60	100	112	140	0	9.5	39	344	6.97	0.02	0.24	0.11	1	60	100	112	140	0	9.5	39	344	6.97	0.02	0.24	0.11	1	69	93	100	98	0.5	0	11.2	64	35	6.17	27	146	0.42	4.2	0.034	67.95722151	37.07479266	161	139	35	9076	374	-22	396	110	278	278	43	244	58	0	89	135	0	0	100	497
acc1677216	Tajikistan	1	47	71	80	100	0.5	8.5	59	637	4.7	0.06	0.63	0.26	1	47	71	80	100	0.5	8.5	59	637	4.7	0.06	0.63	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.00405917	37.02892587	162	139	35	9073	375	-22	397	111	279	279	44	244	58	0	90	137	0	0	99	515
acc1677217	Tajikistan	1	72	102	112	140	0.5	8	15	105	5.71	0.01	0.08	0.09	1	72	102	112	140	0.5	8	15	105	5.71	0.01	0.08	0.09	1	56	79	90	96	0.5	0	9.4	129	675	6.07	43	152	0.42	4.2	0.036	68.01233877	39.17933758	61	117	31	8281	256	-110	366	58	156	167	-48	698	126	3	71	343	19	29	224	2224
acc1677218	Philippines	1	59	77	84	85	1	7.5	43	347	5.18	0.02	0.2	0.07	1	59	77	84	85	1	7.5	43	347	5.18	0.02	0.2	0.07	1	50	68	75	108	1	1	9.4	4	3	7.96	2	165	0.42	4.2	0.039	120.9842	14.5995	273	80	64	1114	339	214	125	273	263	288	258	2059	445	8	90	1199	36	429	88	9
acc1677219	Philippines	1	87	117	127	70	1	5.5	16	72	5.55	0.01	0.06	0.05	1	87	117	127	70	1	5.5	16	72	5.55	0.01	0.06	0.05	1	63	81	91	100	1	1	4.2	25	90	5.18	7	102	0.42	4.2	0.024	120.9842	14.5995	273	80	64	1114	339	214	125	273	263	288	258	2059	445	8	90	1199	36	429	88	9
acc1677220	China	1	55	82	100	150	0	7	101	971	4.32	0.04	0.42	0.17	1	55	82	100	150	0	7	101	971	4.32	0.04	0.42	0.17	1	56	91	100	105	0.5	0.5	7.8	141	994	5.73	59	266	0.42	4.2	0.063	116.2305	40.2374	117	118	28	10951	313	-103	416	251	-31	251	-31	611	213	3	141	480	12	480	12	133
acc1677222	China	1	69	87	102	85	1	8.5	55	461	5.2	0.02	0.24	0.15	1	69	87	102	85	1	8.5	55	461	5.2	0.02	0.24	0.15	1	62	89	100	96	0.5	0.5	8.2	69	360	4.65	18	106	0.42	4.2	0.025	116.2305	40.2374	117	118	28	10951	313	-103	416	251	-31	251	-31	611	213	3	141	480	12	480	12	133
acc1677223	China	1	55	67	73	75	0.5	8	116	1083	4.7	0.05	0.51	0.18	1	55	67	73	75	0.5	8	116	1083	4.7	0.05	0.51	0.18	1	46	66	74	55	0.5	0.5	9.1	70	612	5.55	36	322	0.42	4.2	0.076	112.2384	30.7378	166	83	26	8468	321	3	318	272	53	272	53	1018	168	24	54	444	91	444	91	62
acc1677224	China	1	55	70	76	90	0.5	7.5	68	486	5.34	0.03	0.26	0.16	1	55	70	76	90	0.5	7.5	68	486	5.34	0.03	0.26	0.16	1	49	66	75	85	1	1	6.5	14	23	6.27	2	276	0.42	4.2	0.065	112.2384	30.7378	166	83	26	8468	321	3	318	272	53	272	53	1018	168	24	54	444	91	444	91	62
acc1677225	China	1	55	73	83	90	0.5	8	102	869	5.06	0.04	0.44	0.21	1	55	73	83	90	0.5	8	102	869	5.06	0.04	0.44	0.21	1	50	73	89	72	0.5	0.5	7.5	188	770	4.54	37	166	0.42	4.2	0.039	116.2305	40.2374	117	118	28	10951	313	-103	416	251	-31	251	-31	611	213	3	141	480	12	480	12	133
acc1677226	China	1	51	67	76	85	0.5	12	72	584	5.47	0.03	0.32	0.19	1	51	67	76	85	0.5	12	72	584	5.47	0.03	0.32	0.19	1	43	65	74	55	0.5	0.5	5.9	47	272	5.39	14	300	0.7	4.2	0.071	114.9042	37.8957	131	118	28	10704	322	-87	409	262	-15	262	-15	452	138	4	118	323	13	323	13	44
acc1677227	China	1	59	80	98	85	0.5	8.5	33	264	5.3	0.02	0.16	0.06	1	59	80	98	85	0.5	8.5	33	264	5.3	0.02	0.16	0.06	1	69	94	105	90	0.5	0.5	6.5	36	352	5.39	21	103	0.42	4.2	0.024	114.9042	37.8957	131	118	28	10704	322	-87	409	262	-15	262	-15	452	138	4	118	323	13	323	13	44
acc1677228	China	1	45	61	71	75	0.5	9	136	1295	4.16	0.05	0.54	0.21	1	45	61	71	75	0.5	9	136	1295	4.16	0.05	0.54	0.21	1	42	65	76	48	0.5	0.5	9.4	27	210	4.39	12	440	0.42	4.2	0.104	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1677229	China	1	48	65	70	65	1	9	67	639	5.16	0.03	0.33	0.19	1	48	65	70	65	1	9	67	639	5.16	0.03	0.33	0.19	1	46	67	79	73	0.5	0.5	8.8	49	243	4.2	12	169	0.42	4.2	0.04	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1677230	China	1	59	80	98	110	1	9.38	38	320	7.81	0.03	0.27	0.17	1	59	80	98	110	1	9.38	38	320	7.81	0.03	0.27	0.17	1	62	89	100	78	0.5	0.5	12.8	21	88	6.77	8	121	0.42	4.2	0.028	116.2305	40.2374	117	118	28	10951	313	-103	416	251	-31	251	-31	611	213	3	141	480	12	480	12	133
acc1677231	China	1	53	71	80	80	0.5	9	95	737	4.47	0.03	0.33	0.12	1	53	71	80	80	0.5	9	95	737	4.47	0.03	0.33	0.12	1	81	98	108	56	0.5	0.5	7.4	40	247	5.07	14	97	0.42	4.2	0.023	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
