	origin	hypocotyl_color_18_indiv	SeedToBloom_18_indiv	SeedToBegMat_18_indiv	SeedToFullMat_18_indiv	plant_height_18_indiv	habitus_18_indiv	pod_length_18_indiv	pod_per_plant_18_indiv	seeds_per_plant_18_indiv	mass_100_seeds_18_indiv	productivity_18_indiv	seed_mass_per_plot_18_indiv	yield_18_indiv	hypocotyl_color_18_aver	SeedToBloom_18_aver	SeedToBegMat_18_aver	SeedToFullMat_18_aver	plant_height_18_aver	habitus_18_aver	pod_length_18_aver	pod_per_plant_18_aver	seeds_per_plant_18_aver	mass_100_seeds_18_aver	productivity_18_aver	seed_mass_per_plot_18_aver	yield_18_aver	hypocotyl_color_20_aver	SeedToBloom_20_aver	SeedToBegMat_20_aver	SeedToFullMat_20_aver	plant_height_20_aver	habitusInFlow_20_aver	habitusInMatur_20_aver	pod_length_20_aver	pod_per_plant_20_aver	seeds_per_plant_20_aver	mass_100_seeds_20_aver	productivity_20_aver	seed_mass_per_plot_20_aver	plant_square_20_aver	plot_square_20_aver	yield_20_aver	Longitude	Latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	altitude
acc1677315	Pakistan	1	44	59	66	78	1	9	307	1776	3.37	0.06	0.6	0.21	1	44	59	66	78	1	9	307	1776	3.37	0.06	0.6	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.0169	33.5651	215	141	38	7536	395	29	366	288	167	303	112	912	235	15	92	549	72	492	145	507
acc1677316	Pakistan	0	87	117	125	70	1	5.5	18	132	3.03	0.01	0.05	0.02	0	87	117	125	70	1	5.5	18	132	3.03	0.01	0.05	0.02	0	77	93	105	56	1	1	6.5	27	135	2.84	6	27	0.84	4.2	0.006	71.6888	34.0155	227	139	37	7980	409	35	374	179	176	322	118	424	71	10	55	156	49	132	104	306
acc1677317	Pakistan	0	65	102	110	70	1	5	89	575	3.47	0.02	0.2	0.07	0	65	102	110	70	1	5	89	575	3.47	0.02	0.2	0.07	0	70	86	96	74	1	1	6.9	129	583	3.25	21	128	0.42	4.2	0.03	77.227	28.6001	252	130	39	6769	406	73	333	300	166	329	155	693	245	3	138	561	25	256	32	213
acc1677318	Egypt	1	73	102	112	80	1	7.5	27	182	3.84	0.01	0.08	0.03	1	73	102	112	80	1	7.5	27	182	3.84	0.01	0.08	0.03	1	74	90	100	78	0.5	0.5	6.4	182	617	2.75	19	116	0.42	4.2	0.027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677319	Kazakhstan	1	67	84	100	120	0.5	10.5	63	460	6.08	0.03	0.28	0.1	1	67	84	100	120	0.5	10.5	63	460	6.08	0.03	0.28	0.1	1	52	88	98	110	0.5	0.5	8.8	21	46	5.3	4	162	0.42	4.2	0.038	77.5573	44.7689	77	112	25	11521	294	-141	435	155	204	219	-77	301	38	15	27	100	56	65	60	596
acc1677170	Uzbekistan	0	55	71	84	130	0	11	99	1067	7.77	0.08	0.83	0.3	0	55	71	84	130	0	11	99	1067	7.77	0.08	0.83	0.3	1	46	67	78	80	0.5	0	8.5	59	579	8.8	53	508	0.42	4.2	0.12	67.1418	39.4065	128	128	34	8429	327	-43	370	76	223	236	18	372	70	0	74	179	6	9	131	946
acc1677172	Uzbekistan	1	92	112	118	88	0.5	5	21	104	4.8	0.01	0.06	0.02	1	92	112	118	88	0.5	5	21	104	4.8	0.01	0.06	0.02	1	70	90	100	130	0.5	0	4	234	676	3.69	27	110	0.42	4.2	0.026	67.43372406	40.02304395	141	128	33	8828	346	-33	379	88	240	254	26	371	65	0	72	171	7	10	136	642
acc1677173	Uzbekistan	0	92	124	138	90	0.5	7.5	33	128	6.25	0.01	0.1	0.04	0	92	124	138	90	0.5	7.5	33	128	6.25	0.01	0.1	0.04	0	70	90	100	88	0.5	0.5	6.2	6	14	6.73	2	78	0.42	4.2	0.018	67.48677811	39.98285149	141	128	33	8777	346	-32	378	88	239	254	27	375	65	0	70	172	7	10	137	643
acc1677174	Uzbekistan	1	87	117	128	100	0.5	5.5	16	97	5.15	0.01	0.06	0.02	1	87	117	128	100	0.5	5.5	16	97	5.15	0.01	0.06	0.02	1	78	98	100	92	0.5	0.5	3.5	3	6	4.34	2	22	0.42	4.2	0.005	63.7806129	41.77340606	138	122	27	11388	372	-75	447	74	262	283	-11	121	21	1	63	54	5	6	43	148
acc1677175	Kazakhstan	1	84	112	122	120	0	9	30	285	7.01	0.02	0.2	0.08	1	84	112	122	120	0	9	30	285	7.01	0.02	0.2	0.08	1	61	84	94	85	0.5	0	7.4	50	269	4.83	15	89	0.42	4.2	0.021	75.33514366	43.47490981	90	116	27	10484	300	-115	415	96	207	220	-50	385	63	12	48	164	44	63	71	700
acc1677176	Algeria	1	84	112	122	120	0	11	38	387	8.26	0.03	0.32	0.11	1	84	112	122	120	0	11	38	387	8.26	0.03	0.32	0.11	1	67	79	89	110	0.5	0	11.5	172	680	7.35	52	131	0.42	4.2	0.031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677177	Tansania	1	69	97	107	70	0.5	5.5	60	556	3.92	0.02	0.22	0.12	1	69	97	107	70	0.5	5.5	60	556	3.92	0.02	0.22	0.12	1	56	74	87	96	1	1	6.8	265	1227	3.66	47	140	0.42	4.2	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677178	Australia	1	64	87	107	85	1	8	62	545	4.22	0.02	0.23	0.12	1	64	87	107	85	1	8	62	545	4.22	0.02	0.23	0.12	1	66	81	94	105	1	0.5	6.7	120	481	3.53	19	93	0.42	4.2	0.022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677179	Russia	1	53	73	80	90	0.5	8	79	571	4.55	0.03	0.26	0.09	1	53	73	80	90	0.5	8	79	571	4.55	0.03	0.26	0.09	1	52	81	94	125	0.5	0.75	7.8	59	401	5.48	24	119	0.42	4.2	0.028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677180	USA	1	53	73	80	110	1	7	44	317	5.67	0.02	0.2	0.07	1	53	73	80	110	1	7	44	317	5.67	0.02	0.2	0.07	1	50	68	89	88	1	1	9.2	140	812	5.91	50	125	0.42	4.2	0.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
