	ID	SeqID	Batch	Country	Biological_status	Agrobotanical_type	PlantHeight_y2019	TechnicalLenght_y2019	InflorescenceLenght_y2019	TechnicalPartWeight_y2019	BoxesNumber_y2019	SeedNumber_y2019	AverageDiameter_y2019	NumberOfInternodes_y2019	DistanceBetweenInternodes_y2019	ElementalFiberAvLenght_y2019	Taperingness_y2019	Slenderness_y2019	FiberWeight_y2019	FiberContent_y2019	WeightOf1000Seeds_y2019	OilContent_y2019	FusoriumPerc_y2019	PlantHeight_y2020_1	TechnicalLenght_y2020_1	InflorescenceLenght_y2020_1	TechnicalPartWeight_y2020_1	BoxesNumber_y2020_1	SeedNumber_y2020_1	AverageDiameter_y2020_1	NumberOfInternodes_y2020_1	DistanceBetweenInternodes_y2020_1	ElementalFiberAvLenght_y2020_1	Taperingness_y2020_1	Slenderness_y2020_1	FiberWeight_y2020_1	FiberContent_y2020_1	WeightOf1000Seeds_y2020_1	OilContent_y2020_1	FusoriumPerc_y2020_1	PlantHeight_y2020_2	TechnicalLenght_y2020_2	InflorescenceLenght_y2020_2	TechnicalPartWeight_y2020_2	BoxesNumber_y2020_2	SeedNumber_y2020_2	AverageDiameter_y2020_2	NumberOfInternodes_y2020_2	DistanceBetweenInternodes_y2020_2	ElementalFiberAvLenght_y2020_2	Taperingness_y2020_2	Slenderness_y2020_2	FiberWeight_y2020_2	FiberContent_y2020_2
L153	De4258	L153	Small	Germany	breeding_line	fiber_flax	85.3	69.7	15.7	535	4.8	29.7	1.4	64.2	10.9	15.3	478.4	0.5	146.2	26.9	5.04	38.12	NA	71.4	58	13.4	300.8	3.4	26.25	1.1	53.4	10.9	13.9	519.4	0.45	76.4	25.86	5.6	37	NA	86.83	68	18.83	509.67	4.83	33.33	1.36	57.33	11.98	15.87	470.03	0.67	121.33	24.27
L162	TrTek3997	L162	Small	Turkey	elite_cultivar	fiber_flax	75	59.67	15.33	373.33	4	22.33	1.21	56	10.66	14	502.77	0.58	82.67	22.23	4.92	37.56	NA	65	51.5	13.5	244.25	3.5	22.5	1.07	47.25	10.95	13.27	477.53	0.51	69.5	28.72	4.8	36.76	NA	70.33	56.83	13.5	293.67	3.83	22.67	1.1	48.33	11.79	14.39	528.86	0.62	75	25.78
L163	TrTur4090	L163	Small	Turkey	breeding_line	fiber_flax	74	51	23	550	0	0	1.9	43.5	11.9	14.7	282	1.2	114	20.7	4.68	37.98	NA	78.8	58.8	20	447.8	4.8	32	1.31	55.2	10.66	14.02	466.64	0.44	106	24.78	4.68	38.65	NA	80	59	21	334.67	4	27.67	1.09	53	11.15	14.15	548.62	0.56	72	22.01
L164	SeSva4027	L164	Small	Sweden	elite_cultivar	fiber_flax	78.8	62.4	16.4	364.4	3.2	15.2	1.16	54.4	11.52	14.81	540.12	0.53	89.6	24.77	4.96	38.26	NA	85	73.33	11.67	400.33	3.33	23.67	1.12	69.33	10.58	15.17	643.79	0.55	104.67	27.38	5.2	40.55	NA	82	65	17	494	4	33	1.42	57.5	11.31	15.18	442.18	0.6	118	23.89
L183	GbLdo3650	L183	Small	Great_Britain	kryazh	fiber_flax	57.3	45.5	11.8	228	2.5	13	1.1	39	11.7	13.3	397.5	0.6	51.3	23	3.9	40.11	NA	52.67	39	13.67	171.33	3.33	19.67	0.96	36	10.84	11.88	396.62	0.46	41.33	24.8	4.1	39.7	NA	54	39	15	170.33	3.67	22	1.04	33.83	11.53	12.44	403.55	0.45	34	20.78
L184	GbSto3662	L184	Small	Great_Britain	kryazh	fiber_flax	60.1	49.9	10.3	239	1.5	7.5	1	32.9	15.3	16.1	483.6	0.6	31.5	14.2	4.33	38.78	NA	74	60.33	13.67	327.33	3	19	1.09	55.33	10.9	14.11	538.58	0.57	88	26.85	4.33	39	NA	83.25	68.5	14.75	343	2.75	14.5	1.07	59.75	11.54	15.31	611.27	0.48	104	29.86
L197	Cz6128	L197	Small	Czech	breeding_line	fiber_flax	76.8	54	22.8	969	9.7	64.4	2.1	42.7	12.8	15.8	291.8	1.1	201.8	21.2	5.18	37.22	NA	77	65.2	11.8	334.2	2.6	20.25	1.08	64	10.19	14.08	618.54	0.51	113.6	34.7	4.8	36.4	NA	76.5	63	13.5	360	3.75	24.25	1.24	54.25	11.69	15.06	515.23	0.61	107.5	29.66
L200	Ru1420	L200	Small	India	landrace	fiber_flax	59	33	26	388	12.4	62.7	1.8	27.1	12.3	13.1	211.9	0.6	57.3	15	4.26	37.36	NA	88.8	70.4	18.4	567.6	6.6	65.25	1.44	69.8	10.09	14.87	458.33	0.52	189.2	33.63	4.1	38.7	NA	57.4	45.2	12.2	170.4	3.6	18.2	0.95	40.2	11.27	12.76	462.87	0.5	43.2	25.79
L215	RuJit2864	L215	Small	Russia	kryazh	fiber_flax	50.6	28.6	22	258	7.6	35.8	1.5	27	10.6	11.3	238.3	0.3	39.8	16	3.56	37.92	NA	53.67	42.33	11.33	150.67	3.17	23	0.89	40	10.58	11.95	476.56	0.35	43.33	29.39	4.8	37.4	NA	51	40.67	10.33	126	2	9.33	0.86	36	11.3	12.25	475.75	0.5	32	25.36
L456	Kz706	L456	Small	Kazakhstan	landrace	fiber_flax	72.8	52.2	20.6	353	6.6	38.8	1.3	50.2	10.5	13.3	382.1	0.3	73.4	21.1	3.84	37.43	NA	52	40	12	170.25	3	20	1	41	9.76	11.27	355.8	0.37	42.5	25.26	4.8	36.1	NA	55.75	42.5	13.25	205	4.25	18.5	0.99	37.75	11.27	12.54	540.22	0.82	45	21.93
L256	Ru5635	L256	Small	Russia	landrace	intermediate_flax	71.5	43	28.5	505	28.5	70	1.9	39	11	13.4	250	0.7	88	17.3	4.58	39.93	NA	58	45.5	12.5	215.5	4.67	26.5	1.14	45.67	9.97	12.09	378.38	0.59	56.33	26.19	5	36.55	NA	56.5	39.5	17	273	6.5	35.25	1.3	44	9.05	11.05	296.22	0.45	64.5	23.88
L257	NlAta5575	L257	Small	Netherlands	landrace	intermediate_flax	80	53	27	707	17	42	1.8	46.5	11.6	14.6	359.7	0.5	105.5	14.8	4.84	40.85	NA	72.17	56.5	15.67	425.17	7.5	68.75	1.4	56.33	10.08	13.49	403.89	0.71	96.67	22.67	6	41.4	NA	71	54.67	16.33	560	7.67	48.67	1.6	57	9.6	13.2	341.11	0.75	113.33	20.29
L260	CzRac7208	L260	Small	Czech	elite_cultivar	intermediate_flax	80	59	21	650	11	10	1.7	53	11.1	14.7	337.1	0.5	95	14.6	5.04	41.3	NA	56.4	42	14.4	254	4.6	25.25	1.23	41.6	10.11	11.94	326.53	0.81	56.4	22.34	4.8	37.7	NA	58.5	40.5	18	324.5	7.75	40.75	1.44	44.5	9.08	11.31	285.95	0.61	63	19.55
L267	ByIli7035	L267	Small	Belarus	elite_cultivar	intermediate_flax	69	37	32	636	20.5	76	2.1	33	11.2	13.1	172.3	0.7	115	18.1	5.47	44.98	NA	65.17	44.83	20.33	460.67	10.5	88.5	1.6	47.17	9.53	12.21	286.42	0.68	97.67	21.22	6.6	NA	NA	60	42	18	314.4	6.8	45	1.36	45.4	9.25	11.49	303.81	0.42	72.8	23.16
L268	FrAst7202	L268	Small	France	elite_cultivar	intermediate_flax	59	39.5	19.5	428	4	12.5	1.7	30.5	13	14.1	293.7	0.3	58.2	13.6	5.72	43.7	NA	48.5	39	9.5	179	3	8.5	1.07	42.5	9.15	10.83	361.3	NA	39	21.72	5.6	36.5	NA	54	40.67	13.33	296	4.67	20.67	1.42	41	9.95	11.91	281.47	0.52	64.67	21.8
L336	NlBil7209	L336	Small	Netherlands	elite_cultivar	intermediate_flax	78.8	59.8	19	813	10.5	27.5	1.8	48.5	12.3	15.8	312.9	0.7	123.3	15.1	5.01	41.3	NA	74.75	59.75	15	590.75	8.25	54.5	1.6	65.25	9.19	13.39	371.22	0.84	129.5	22.06	5.6	41	NA	67.8	54.2	13.6	458.4	6	45.25	1.42	59.8	9.14	12.64	372.35	0.7	97.6	21.39
L338	DeVit4338	L338	Small	Germany	elite_cultivar	intermediate_flax	74.2	55.7	18.5	703	10	52.7	1.8	51	11	14.4	349.2	0.6	136	19.3	6.89	39.6	NA	76.8	61.8	15	488.8	7	34.75	1.47	67.2	9.2	13.47	395.1	0.5	124.4	25.76	7.2	38.4	NA	75	60.8	14.2	544.8	6.4	46.75	1.53	64.6	9.43	13.59	380.28	0.47	130.4	24.02
L339	DeTMP6907	L339	Small	Germany	elite_cultivar	intermediate_flax	65.4	38.4	27	441	9	55.9	1.6	35.4	10.9	12.5	260.5	0.4	75.7	17.2	4.06	37.7	NA	72.83	46.17	26.67	437.33	9.33	108.5	1.53	48.67	9.48	12.22	296.91	0.5	96.67	21.99	5.4	36.1	NA	75.33	50.33	25	492	8.33	58.67	1.61	55	9.18	12.51	324.77	0.72	108.67	22.27
L345	Ru5621	L345	Small	Russia	breeding_line	intermediate_flax	77	57	20	756	17.5	56.8	1.8	50.8	11.2	14.8	306	0.8	92	12.3	4.38	41.2	NA	69.17	54.67	14.5	364.67	8.33	67.75	1.32	57.83	9.53	12.86	398.56	0.58	77.33	21.5	5.6	39.8	NA	64	53.83	10.17	288.33	5.83	51	1.18	58	9.28	12.46	447.34	0.42	51.33	17.92
L347	Ru5627	L347	Small	Russia	breeding_line	intermediate_flax	62.8	40	22.8	468	9.5	60	1.7	38.3	10.5	12.5	223.6	0.5	72.3	15.9	4.04	45.3	NA	67	55.4	11.6	237	4	30	1.05	55	10.12	13.05	491.07	0.5	68.4	29.44	4.9	39.9	NA	70.33	54	16.33	332	6.67	46	1.22	58.33	9.26	12.5	416.97	0.35	76.67	23.06
L351	RuDon4375	L351	Small	Russia	elite_cultivar	intermediate_flax	60.8	34.8	26	423	12.3	77	1.8	31.5	11.1	12.5	190.1	0.4	69	16.7	4.54	36.6	NA	58	40.67	17.33	276.5	7.33	63.5	1.34	43.67	9.33	11.39	296.87	0.46	69	25.1	5.2	37.6	NA	60.2	42.8	17.4	277.2	6.4	40.25	1.21	45.4	9.43	11.53	341.86	0.46	54.8	19.78
L355	UsDak3218	L355	Small	USA	breeding_line	intermediate_flax	76.8	60.3	16.5	604	9.8	65.7	1.6	57	10.6	14.4	361.6	0.5	109.8	18.4	4.81	39.9	NA	73	58.17	14.83	405.67	8.67	98	1.28	62.5	9.31	12.99	428.4	0.5	95.33	23.62	5.2	39.5	NA	72	57.25	14.75	396.5	7	47.75	1.27	61.25	9.35	12.93	430.45	0.46	86	21.79
L356	NlAre5568	L356	Small	Netherlands	breeding_line	intermediate_flax	53.4	35.6	17.8	290	5	33.2	1.4	32.2	11.1	12.2	244.5	0.4	52.8	18.3	6.54	40.5	NA	48.67	29.5	19.17	222	6.33	29.25	1.34	34.67	8.57	9.79	222.72	0.67	45.33	20.72	6.5	38.1	NA	44.33	26.33	18	199.33	5	23	1.23	31.33	8.43	9.28	213.89	0.69	34	17.03
L357	CaRoj3510	L357	Small	Canada	breeding_line	intermediate_flax	86.4	71.1	15.3	741	8.4	51.7	1.6	66.9	10.7	15.5	417	0.7	152.6	20.8	5.93	40.45	NA	48.83	32.33	16.5	212.83	7.17	49.25	1.27	33.33	9.77	10.82	244.11	0.41	50	23.52	6.4	38.8	NA	50	32.25	17.75	248	7.5	29.75	1.3	37	8.7	10.11	248.16	0.47	51	20.93
L358	ItSic4056	L358	Small	Italy	breeding_line	large-seed_flax	62	38.9	23.1	382	10.4	65.4	1.5	38.4	10.1	11.9	256.2	0.5	66.9	17.7	5.54	39.25	NA	62.33	42.83	19.5	306.5	9.33	96.5	1.34	45.17	9.49	11.71	320.21	0.57	65.67	21.52	5.4	37.05	NA	59.75	43.5	16.25	306.5	6.25	49.75	1.26	50.75	8.56	11.05	339.23	0.73	64.5	21.19
L359	ArLin1771	L359	Small	Argentina	breeding_line	intermediate_flax	74.3	54.4	19.9	564	9.1	51.3	1.6	54.4	10	13.5	332.8	0.5	91	16.1	3.8	39.3	NA	65.25	52.75	12.5	310.5	5.25	29.5	1.16	55.5	9.57	12.54	436.75	0.63	78	25.5	5.2	37.5	NA	61.8	46.2	15.6	302.4	6	46.75	1.23	48.8	9.46	11.91	360.05	0.58	76.8	25.41
L360	UaKL6594	L360	Small	Ukraine	breeding_line	intermediate_flax	60	42.6	17.4	358	8.2	49.8	1.4	39.2	10.9	12.7	295.3	0.6	56.2	15.9	4.78	40.36	NA	63	47.67	15.33	304.67	5.83	53.5	1.23	51.67	9.23	11.88	372.91	0.54	64.67	21.86	6	38.6	NA	62.83	47.83	15	368.33	6.17	NA	1.3	51.33	9.33	12.04	354.58	0.56	76.33	20.69
L362	Pt3470	L362	Small	Porugal	breeding_line	intermediate_flax	80.8	55.8	25	611	5.8	45.2	1.6	54	10.4	13.9	324.2	0.6	130.5	21.4	4.82	39.14	NA	80.75	60.5	20.25	497.5	6	34	1.46	60.75	9.95	13.85	408.74	0.51	126.5	25.79	4.4	38.2	NA	88	66.6	21.4	606.4	5.8	44.25	1.49	69.6	9.57	14.21	431.22	0.74	139.6	23.23
L367	*UgoOzi3025	L367	Small	Yugoslavia	breeding_line	intermediate_flax	53.8	37.6	17	275	6.6	39.9	1.3	33.6	11.3	12.4	268.3	0.4	52.6	19.7	4.52	39.91	NA	61.75	44	17.75	282	9.75	52.25	1.3	48.25	9.16	11.56	338.18	0.47	75	26.91	5	38.15	NA	59	40.25	18.75	289.5	8.75	39.25	1.34	42.25	9.53	11.49	308.23	0.54	59	20.45
L368	*UgoLan3027	L368	Small	Yugoslavia	breeding_line	intermediate_flax	59.5	39.5	19.8	388	10.7	62.3	1.6	38.5	10.3	12.2	228.5	0.5	77	19.8	5.56	39.02	NA	57.83	37.5	20.33	322	10.67	87	1.45	39.33	9.54	11.35	253.23	0.62	69.67	21.81	4.8	38.4	NA	53.83	36.83	17	250.5	7	34.17	1.33	41.33	8.97	10.76	279.69	0.58	58.67	23.89
L371	HuMcG5577	L371	Small	Hungary	elite_cultivar	intermediate_flax	55	40.3	14.7	310	6.7	32	1.4	38.7	10.4	12.1	295.6	0.4	50.7	16.2	4.94	39.45	NA	58	45.5	12.5	224.33	4.83	36	1.12	47.67	9.61	11.82	392.03	0.57	58	26.39	5.2	38	NA	66.25	51.5	14.75	382.5	7.5	49	1.28	55	9.36	12.39	390.35	0.53	90	23.43
L372	Se6333	L372	Small	Sweden	landrace	intermediate_flax	70.2	47.5	22.7	607	12.3	52	1.8	45.7	10.4	13.3	256.2	0.5	109.3	18.2	6.2	39.15	NA	68.5	51.33	17.17	382.5	8.5	67.5	1.36	54.67	9.5	12.56	371.86	0.62	86	22.47	5.2	37.7	NA	67.83	53.5	14.33	367.67	6.67	46.5	1.24	57.5	9.31	12.51	416.89	0.59	85	23.26
L373	In5543	L373	Small	India	breeding_line	large-seed_flax	64.3	40.3	24	450	11.8	94.7	1.6	35	11.6	13.3	242.8	0.6	88.2	19.5	5.06	38.6	NA	65.33	51.33	14	310.17	5.67	58.75	1.21	55	9.35	12.29	407.25	0.61	80.33	25.93	4.8	36.1	NA	65.25	48.25	17	353.5	6	43.25	1.31	52.75	9.13	11.95	364.76	0.63	88	24.83
L375	Eg519	L375	Small	Egypt	landrace	large-seed_flax	44.3	32.7	11.7	220	5.3	27.7	1.2	30.7	10.7	11.4	272.6	0.4	47.3	21.3	4	37.7	NA	51.5	37.67	13.83	215.67	4.5	32	1.18	41.5	9.08	10.76	309.67	0.46	59.67	27.82	5.6	35.5	NA	56.33	40.33	16	299.33	5.33	28.33	1.28	44.33	9.09	11.13	319.03	0.53	74	25.94
L381	Ma1024	L381	Small	Morocco	landrace	large-seed_flax	54.6	32.6	22	318	12	48	1.3	31.2	10.5	11.7	214.7	0.5	58.4	17.8	5.92	38.4	NA	44.5	26.5	18	133.25	6	11.25	1.18	32	8.3	9.16	228.78	0.47	32	24.22	5.6	36.3	NA	43.75	28.25	15.5	182	5	12.5	1.24	33.25	8.54	9.55	231.48	0.42	37.5	20.52
L382	MaMar3850	L382	Small	Morocco	breeding_line	large-seed_flax	58.5	38.8	18	510	10.5	50	1.8	38.7	10	12.2	225.8	0.6	89	18.1	6.6	42.92	NA	68.67	42.17	26.5	467.83	13.17	77.5	1.7	54.83	NA	10.79	255.94	0.53	103.33	22.2	6.5	41.1	NA	61.4	40.4	21	399.6	10.2	57.75	1.54	51	7.95	10.62	267.79	0.35	88.8	22.4
L383	HuTMP6957	L383	Small	Hungary	elite_cultivar	large-seed_flax	60	42.8	17.5	403	9.2	58	1.5	40.7	10.6	12.7	288.7	0.4	71.5	18	4.89	39.89	NA	54	37	17	197.33	8.67	69.5	1.21	44	8.46	10.31	296.94	0.38	51	25.78	5	38.1	NA	53	41.5	11.5	204.5	5.5	30	1.05	48.25	8.59	10.67	384.2	0.32	47.5	23.26
L385	In568	L385	Small	India	breeding_line	crown_flax	46	19	27	230	10	49	NA	20	9.5	15.3	116.6	NA	23	10	5.67	39.12	NA	53	39.5	13.5	184.5	4.5	17	1.11	41	9.63	11.25	335.85	0.48	47	25.63	6	36.4	NA	50.5	32	18.5	223	6	28.75	1.2	37.75	8.47	9.83	262.34	0.41	41.5	18.82
L386	Et1146	L386	Small	Ethiopia	landrace	crown_flax	63.8	29	34.8	482	26.8	159.3	2	29.7	9.8	11.3	147.4	0.6	64.8	13.6	4.66	39.21	NA	66.33	45.67	20.67	358.33	9.83	83	1.43	51.83	8.83	11.62	324.91	0.62	88.67	25.58	5.2	38.4	NA	66.17	45.17	21	379.33	10.67	83	1.39	50.5	8.94	11.61	321.77	0.54	88.67	23.43
L388	Gr1104	L388	Small	Greece	landrace	crown_flax	44.8	25.8	19	211	8.2	37.6	1.4	29.2	9	9.7	196	0.3	40	19.2	5.6	36.1	NA	43.17	25.5	17.67	143.83	4.83	23.5	1.18	26	9.81	10.1	214.55	0.49	31.33	22.26	6.5	35.5	NA	59.67	42.33	17.33	328	8	39.33	1.3	48.67	8.7	11.08	323.69	0.45	75.33	22.92
L389	Es1227	L389	Small	Spain	landrace	crown_flax	77.6	52.2	25.4	780	11.8	51.6	1.8	49	10.7	13.9	283.8	0.6	132.4	16.8	4.4	38.9	NA	58.6	39.6	19	216.4	4.8	34.25	1.14	41.8	9.52	11.22	327.33	0.47	51.6	24.28	5.2	36.5	NA	59.67	42.5	17.17	246.83	4.83	24.5	1.17	50	8.49	10.81	356.25	0.5	57.67	23.07
L394	Ge2785	L394	Small	Georgia	landrace	crown_flax	81	51.5	29.5	1562	11.5	21	2.5	55	9.4	13.7	239.9	1.1	175	11.2	4.79	38.89	NA	63	50.33	12.67	355.33	6.67	35.33	1.42	55.33	9.13	12.26	345.33	0.72	79.33	23.16	5.2	35.8	NA	75.5	62	13.5	466	6	35	1.42	69	8.97	13.27	411.66	0.41	104	23.47
L395	Ge725	L395	Small	Georgia	landrace	crown_flax	47.8	21.8	26	182	14.6	50.2	1.5	22	9.9	10.2	142.8	0.3	32.6	18.2	4.8	39.6	NA	48.17	26.5	21.67	175.17	8.17	44.75	1.42	29.67	8.94	9.85	183.88	0.5	39.33	22.68	5.2	37	NA	42.75	24.5	18.25	164.5	7	20.25	1.25	31.75	7.72	8.64	193.21	0.51	33	19.97
L396	Am1119	L396	Small	Armenia	landrace	crown_flax	57.6	25	32.6	346	23.2	111.8	1.8	28.8	8.9	10.1	141.5	0.6	58.2	16.8	5.8	37.85	NA	50.5	27.5	23	258	9.83	58.25	1.56	30.83	8.93	10.08	181.34	0.62	53.33	20.88	5.5	36.8	NA	45.75	27.75	18	191.25	6	17.75	1.18	34.75	8.01	9.08	228.82	0.45	44.5	23.36
L400	UzBah3447	L400	Small	Uzbekistan	elite_cultivar	crown_flax	65	32.8	32.2	551	22.2	80	2	33.4	9.8	11.7	168.8	0.5	74	13.7	4.9	39.42	NA	59.5	37.25	22.25	322.5	10.75	53.75	1.47	39.25	9.54	11.34	263.83	0.63	72.5	22.81	5.6	40.95	NA	57.4	40.6	16.8	318	7.4	57	1.32	46	8.79	10.99	306.35	0.48	74	23.34
L641	Et1147	L641	Small	Ethiopia	landrace	crown_flax	61.2	39.2	22	415	12	78.8	1.6	38.3	10.2	12.1	251.5	0.4	68.17	16.19	4.2	34.95	NA	66.17	48.67	17.5	355.17	8.17	73.25	1.36	50.33	9.68	12.42	354.1	0.55	88.33	25.13	4.8	35.2	NA	61.5	45	16.5	307	7.17	79	1.28	50.17	8.97	11.5	338.66	0.51	67	21.86
L642	Af641	L642	Small	Afghanistan	landrace	crown_flax	63.6	44.4	19.2	578	16.2	51	1.8	40.2	11	13.4	240.1	0.5	85.6	14.77	5	40.8	NA	56.17	35	21.17	228.83	8.83	51.75	1.39	36	9.69	11.15	252.18	0.55	49.33	21.8	4	36.7	NA	58.33	43	15.33	301.67	6.83	54.25	1.35	48.33	8.88	11.32	309.41	0.52	63	22.19
L643	Af644	L643	Small	Afghanistan	landrace	crown_flax	57.3	27	30.3	344	26.3	88.3	1.7	26.7	10.1	11	168	0.6	54	15.94	4.2	37.3	NA	59.33	38.5	20.83	289.83	10	70	1.36	40.33	9.57	11.37	276.82	0.44	84.67	29.14	5.2	35.5	NA	55.33	35	20.33	268.67	8.33	42.33	1.33	40	8.74	10.44	261.01	0.34	62.67	23.27
L644	Af673	L644	Small	Afghanistan	landrace	crown_flax	75	64	11	258	17	42	2.3	13	9.2	13.2	293.6	0.8	26	10.78	5.19	40.32	NA	56	33.67	22.33	229.67	8	32.33	1.35	33.67	9.92	11.14	248.37	0.4	53.33	22.89	4.8	35.4	NA	60	39.75	20.25	328	8.75	60.25	1.49	44.25	8.99	11.23	275.98	0.45	71.5	21.83
L645	Af659	L645	Small	Afghanistan	landrace	crown_flax	54	32	22	287	9	41.6	1.4	31.8	10.1	11.2	226.7	0.3	48.6	16.93	5.4	42.3	NA	63.75	47	16.75	355.5	9.25	37	1.36	47.75	9.85	12.38	340.79	0.68	92.5	26.37	4.8	38.1	NA	66	41.33	24.67	422.67	12.67	76.67	1.59	46	8.98	11.47	257.8	0.55	92.67	21.83
L647	Eg519	L647	Small	Egypt	landrace	large-seed_flax	79.5	46.3	33.3	753	18.8	100.8	2	35	13.2	15.2	236.5	0.6	105.75	14.43	5	39.85	NA	59	43	16	222.67	4.33	27	1.13	43	10.07	11.91	361.67	0.43	68.67	30.69	4.5	40.6	NA	58	34.5	23.5	298	8.5	38	1.47	41	8.39	10.29	235.7	0.56	72	24.16
L648	TnLin536	L648	Small	Tunis	elite_cultivar	large-seed_flax	60.7	33.7	27	429	20.7	92.8	1.8	29.7	11.8	11.4	184.9	0.4	48.8	11.4	4.4	38.3	NA	65.67	42.17	23.5	384.5	12.33	90.75	1.51	46.17	9.14	11.59	283.22	0.46	77	20	5.6	36.4	NA	64	42.75	21.25	350.5	9.5	49.25	1.43	49	8.72	11.27	300.37	0.4	62.5	17.83
L649	Sy103	L649	Small	Syria	landrace	large-seed_flax	67.3	38.7	32	515	18	68	1.8	38.7	10	12.2	219.6	0.3	82.33	16.29	6	39.35	NA	54.17	39.17	15	220.67	5.17	37	1.2	41.5	9.43	11.17	317.17	0.48	55.33	25.37	6.4	36.5	NA	57.4	38.2	19.2	308	9	51.5	1.33	43.6	8.76	10.76	276.22	0.53	67.6	22.04
L652	Tj104	L652	Small	Tadzhikistan	landrace	crown_flax	67	34.3	32.8	554	21.3	133.3	2	31.8	10.8	12.4	174.5	0.5	73.75	13.77	4.2	42.3	NA	68.33	49.17	19.17	356.83	9.17	99	1.36	54.33	9.05	12.04	368.89	0.65	78.67	22.41	4.4	39.7	NA	61.25	43.5	17.75	272.5	7	38.5	1.24	48.75	8.92	11.28	366.48	0.56	59.5	21.9
L653	Tj129	L653	Small	Tadzhikistan	landrace	crown_flax	53	26	27	252	10.3	51.7	1.6	24.7	10.6	11.1	156.2	0.4	37.67	14.54	5.6	42.6	NA	46.17	30.17	16	114.83	4.33	20	0.97	32.83	9.2	9.91	306.87	0.43	26.67	24.3	4	35.2	NA	46.17	29.83	16.33	145.83	5.67	24	1.07	37.33	7.99	9.14	271.46	0.53	34	24.43
L655	Uz538	L655	Small	Uzbekistan	landrace	crown_flax	65	31.3	33.7	312	20.3	69.7	1.6	29	10.8	11.8	199.4	0.2	49	15.7	5.05	42.7	NA	43.5	29.5	14	131	3.5	18.5	0.98	34.5	8.56	9.42	279.98	0.35	28	21.18	4.8	39	NA	48.67	32.5	16.17	187.5	5.5	21.17	1.16	36	9.11	10.28	269.95	0.41	48	25.49
L658	Ps525	L658	Small	Palestine	landrace	large-seed_flax	59.6	33.2	26.4	278	10.6	44.6	1.4	32.2	10.3	11.4	237.5	0.3	41	14.79	5.6	39.65	NA	69.17	50.17	19	433.5	9.67	65.75	1.47	51.83	9.69	12.69	342.06	0.53	98.33	23.21	5.2	37.6	NA	78.75	64.75	14	592	7	47.5	1.52	68	9.52	14.03	412.96	0.69	NA	24.48
L662	Ru290	L662	Small	Russia	landrace	crown_flax	62	35.3	26.7	303	9	44.7	1.4	32.3	11.3	12.3	257.9	0.3	49.67	16.5	3.75	39.21	NA	59.33	39.5	19.83	277.83	9	74.75	1.38	43.5	9.12	11.18	298.35	0.54	67.67	25.67	4.4	38.6	NA	56.5	37.67	18.83	283.67	7.83	71.75	1.36	42.67	8.85	10.8	281.08	0.51	68.67	24.13
L667	Kz296	L667	Small	Kazakhstan	landrace	intermediate_flax	75.8	46	29.8	588	18.2	76.4	1.8	42.6	10.8	13.4	281.3	0.4	92.4	15.81	4.4	40.1	NA	69.2	48	21.2	362.4	11.6	86.25	1.42	53.2	9.03	11.98	338.91	0.53	89.6	25.51	5	36	NA	68.5	49.75	18.75	454	10.5	60.75	1.48	57.25	8.69	11.97	334.89	0.51	105.5	22.95
L668	HuRom1672	L668	Small	Hungary	breeding_line	intermediate_flax	63.1	34	29.1	422	17.9	99.4	1.8	32.4	10.5	12	191.7	0.4	66.43	16.04	4.4	37.7	NA	62.67	44.5	18.17	273.17	7.33	66.5	1.24	45.83	9.72	11.93	348.85	0.54	68.33	25.66	4.2	36.9	NA	61	43.17	17.83	298	7.17	68.5	1.28	49	8.81	11.21	337.61	0.53	62.67	20.93
L669	InPun3217	L669	Small	India	elite_cultivar	intermediate_flax	76.2	44.2	31	604	23.2	64.6	1.8	44.4	10	12.7	264.8	0.4	102	16.87	5.4	39.25	NA	67.83	47.67	20.17	385.33	8.33	49.25	1.47	48.17	9.9	12.59	324.75	0.54	87.67	22.91	4.5	35.2	NA	63.6	45.6	18	350	6.2	40.25	1.3	50.4	9.05	11.63	336.96	0.48	84.8	24.23
L671	Ge2784	L671	Small	Georgia	landrace	crown_flax	96.1	76.1	20	1182	12.7	72.3	2.1	74.4	10.2	16.3	351.7	1	280.1	23.91	5.6	37.41	NA	87.5	70.17	17.33	636.5	7.83	86.25	1.52	74.33	9.45	14.5	444.01	0.5	NA	30.11	5.2	36.7	NA	86.33	NA	13.33	NA	6.5	71.25	1.49	NA	9.34	14.66	489.98	0.69	NA	29.25
L672	Ge2787	L672	Small	Georgia	landrace	crown_flax	64.7	41.2	23.5	402	14	53.5	1.6	40	10.3	12.3	254.1	0.4	63.33	15.96	3.8	37.82	NA	64.33	46.67	17.67	313	6.83	59.75	1.33	48	9.73	12.24	342.04	0.58	76	24.43	4.4	36.25	NA	59.25	43	16.25	318.5	7.75	42.25	1.31	47	9.15	11.46	324.44	0.55	75.5	23.85
L673	Am2802	L673	Small	Armenia	landrace	crown_flax	78.3	54.3	24	623	12	36.7	1.7	49	11.1	14.3	312.9	0.4	114.3	18.71	7.2	39.35	NA	71.67	49.33	22.33	436	10.17	66.25	1.51	53.17	9.31	12.4	322.08	0.54	111.67	25.62	6.4	37.7	NA	69	48	21	436	8.5	39.5	1.4	53.75	8.93	11.89	345.26	0.56	104.5	24.33
