	ID	SeqID	Batch	Country	Biological_status	Agrobotanical_type	PlantHeight_y2019	TechnicalLenght_y2019	InflorescenceLenght_y2019	TechnicalPartWeight_y2019	BoxesNumber_y2019	SeedNumber_y2019	AverageDiameter_y2019	NumberOfInternodes_y2019	DistanceBetweenInternodes_y2019	ElementalFiberAvLenght_y2019	Taperingness_y2019	Slenderness_y2019	FiberWeight_y2019	FiberContent_y2019	WeightOf1000Seeds_y2019	OilContent_y2019	FusoriumPerc_y2019	PlantHeight_y2020_1	TechnicalLenght_y2020_1	InflorescenceLenght_y2020_1	TechnicalPartWeight_y2020_1	BoxesNumber_y2020_1	SeedNumber_y2020_1	AverageDiameter_y2020_1	NumberOfInternodes_y2020_1	DistanceBetweenInternodes_y2020_1	ElementalFiberAvLenght_y2020_1	Taperingness_y2020_1	Slenderness_y2020_1	FiberWeight_y2020_1	FiberContent_y2020_1	WeightOf1000Seeds_y2020_1	OilContent_y2020_1	FusoriumPerc_y2020_1	PlantHeight_y2020_2	TechnicalLenght_y2020_2	InflorescenceLenght_y2020_2	TechnicalPartWeight_y2020_2	BoxesNumber_y2020_2	SeedNumber_y2020_2	AverageDiameter_y2020_2	NumberOfInternodes_y2020_2	DistanceBetweenInternodes_y2020_2	ElementalFiberAvLenght_y2020_2	Taperingness_y2020_2	Slenderness_y2020_2	FiberWeight_y2020_2	FiberContent_y2020_2
L4	RuRos6643	L4	Small	Russia	breeding_line	fiber_flax	103.4	90.4	13.2	810	3.6	18.4	1.5	72.4	12.5	18.6	525.9	0.7	197.2	24.4	4.76	37.8	NA	93.67	78.17	15.5	584	3.83	33.67	1.41	80.83	9.67	15.3	524.28	0.78	179	31.28	5	35.7	NA	82.5	69.67	12.83	399.33	3	26.75	1.19	65.17	10.73	14.99	554.96	0.69	109.33	27.35
L5	ArQue4241	L5	Small	Argentina	breeding_line	fiber_flax	56.75	44.25	12.5	184.25	3.5	14.67	1.1	42	10.58	12.35	410.12	0.61	36.5	20.07	4.11	37.5	NA	55.83	46.33	9.5	177.67	2.83	17.5	0.92	47.83	9.69	11.74	475.62	0.34	38.67	22.37	5.67	39.4	NA	68.33	55.67	12.67	273.33	4	26.33	1.09	49	11.44	14.03	512.36	0.45	56.67	20.93
L6	By6266	L6	Small	Belarus	breeding_line	fiber_flax	87.8	76.6	11.8	508	3.8	31.2	1.3	76.2	10.2	15.4	540.6	0.6	133.8	26.2	4.68	38.1	NA	92.5	82	10.5	405.5	2.5	17	1.07	84.25	9.73	15.35	715.87	0.44	131.5	32.89	5.2	37.4	NA	90.2	82.2	8	376	2	13	0.99	72.2	11.46	16.48	830.26	0.69	108.4	29.25
L7	RuVos6372	L7	Small	Russia	breeding_line	fiber_flax	85.1	71.7	13.7	429	3.9	29.1	1.3	76.3	9.8	14.7	520.7	0.7	111.1	25.6	4.36	37.5	NA	77.83	66	11.83	260.5	2	16.17	0.9	67.33	9.81	13.71	772.55	0.42	86.33	34.35	4.6	37.1	NA	83.8	71.8	12	379.2	3.8	21.6	1.13	64.8	11.11	15.39	638.64	0.65	118.8	31.35
L8	AuCur3978	L8	Small	Australia	breeding_line	fiber_flax	78.2	57.6	20.8	346	4.8	30.4	1.3	56.8	10.2	13.6	446.9	0.4	77.2	22.2	4.26	36.9	NA	80.17	60.33	19.83	374.67	5	30.33	1.27	59	10.23	13.83	456.53	0.53	101.33	26.62	4.6	36.6	NA	72	56.6	15.4	252.4	2.6	16	1.05	52.6	10.76	13.61	617.1	0.6	66.4	26.56
L9	Ru5588	L9	Small	Russia	breeding_line	fiber_flax	66.3	49.2	17.2	291	5.6	33.9	1.2	62.6	7.9	11.1	386.4	0.4	65.3	22.4	4.36	40.6	NA	73.2	58.2	15	309.6	4	38.25	1.1	58.8	9.9	13.23	488.56	0.51	91.6	29.74	4.6	36.5	NA	69.8	55.4	14.4	246	3.6	19.4	1	48.4	11.46	13.92	620.88	0.57	70	28.62
L11	Ro6385	L11	Small	Australia	breeding_line	fiber_flax	100.4	83.6	17.1	789	7.1	33.1	1.5	82	10.5	16.5	524	0.6	155.6	20.1	3.5	37.5	NA	85.17	70.67	14.5	372.83	4.17	44	1.11	73.17	9.66	14.26	580.43	0.43	106	28.41	4.8	36.7	NA	101	82.67	18.33	554.33	4.83	31.17	1.36	76.5	10.82	16.47	608.38	0.68	134.67	24.33
L12	CnHon5383	L12	Small	China	breeding_line	fiber_flax	72	58.5	14	343	5.2	32.8	1.3	70.8	8.3	12.4	431.2	0.6	70	20.4	2.96	36.8	NA	69	54.75	14.25	283.25	3.5	20	1.08	57.75	9.49	12.58	479.47	0.48	73	26.08	4.6	35.6	NA	69.67	54.67	15	255.67	3.67	21.83	1.09	44.83	12.36	14.57	481.65	0.45	67.67	26.59
L10	ByRod5064	L10	Small	Belarus	breeding_line	fiber_flax	84.2	70.2	14	393.6	4.4	32.25	1.21	65.8	10.68	15.02	533.5	0.59	89.6	22.24	4.28	38	NA	86.67	71	15.67	523.33	4.17	29	1.31	73.83	9.62	14.48	526.92	0.49	142.67	27.75	4.8	36.7	NA	90.33	75.67	14.67	502.33	5.5	32.67	1.36	70.83	10.69	15.72	611.94	0.69	111.67	22.89
L14	RuRus6172	L14	Small	Russia	breeding_line	fiber_flax	89.3	75.3	14.1	521	4.3	25.9	1.4	83.1	9.4	14.8	516	0.5	112.6	21.7	5.47	38.5	NA	91.5	75	16.5	569.5	4.67	47	1.43	78	9.61	14.98	480.08	0.49	162	28.61	5	38.4	NA	90.8	77.2	13.6	532.8	4.2	25.2	1.44	72.4	10.66	15.93	558.88	0.56	151.2	28.71
