VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_0412	8	36	17	28	13	3	7	5	3	7	3	9	5	1	5	1	1	35.0	17.0	2.3	1.8	18	5.0	0.2	7	17	8	3	10	110
vir_0413	8	36	17	27	12	3	7	5	3	7	3	9	5	1	5	1	1	33.0	20.0	2.3	2.4	22	11.0	0.8	7	17	8	3	10	110
vir_0414	8	35	17	28	12	3	7	5	3	7	3	9	5	1	5	1	1	35.0	17.0	5.0	3.1	29	18.0	1.4	7	16	7	3	14	110
vir_0453	13	34	13	28	15	1	3	3	7	3	3	9	5	1	5	1	1	43.0	27.0	13.6	2.0	3	2.0	0.7	5	25	14	5	1	220
vir_0454	8	39	13	28	15	1	3	3	5	3	3	9	5	7	5	1	2	50.0	26.0	8.6	6.3	18	9.0	2.3	5	25	13	3	1	260
vir_0464	8	39	14	27	12	3	5	5	3	7	7	9	5	7	7	2	1	50.0	24.0	15.6	6.4	28	26.0	4.3	7	19	10	3	11	190
vir_0467	10	37	13	28	15	1	3	3	7	3	5	9	5	7	7	2	1	60.0	20.0	16.3	23.7	40	26.0	9.0	5	25	13	5	1	390
vir_0471	8	36	17	27	14	3	7	5	5	7	3	9	5	7	7	2	1	60.0	17.0	22.4	17.0	88	49.0	11.8	7	21	10	3	11	250
vir_0472	8	36	18	26	14	3	7	3	5	7	3	9	5	7	7	1	1	45.0	17.0	14.0	8.0	48	31.0	5.2	7	19	8	3	11	210
vir_0473	8	37	18	25	12	3	3	3	5	3	7	9	5	7	7	1	2	56.0	20.0	10.7	11.4	46	37.0	9.7	7	18	9	5	10	255
vir_0474	8	39	16	24	12	3	7	3	5	7	3	9	5	7	7	1	2	50.0	20.0	18.8	16.5	48	42.0	8.3	7	25	12	3	10	250
vir_0482	8	39	14	27	14	3	7	5	3	7	3	7	5	1	5	1	1	52.0	22.0	9.0	10.8	45	43.0	7.3	7	21	11	3	11	160
vir_0483	8	39	14	27	14	3	7	5	3	7	3	9	5	7	5	2	2	52.0	20.0	6.5	7.4	23	21.0	3.3	7	20	9	3	11	225
vir_0533	8	39	14	28	14	1	3	5	7	3	5	9	5	7	7	2	1	60.0	20.0	27.5	52.7	77	52.0	21.5	5	25	14	5	1	475
vir_0535	8	39	14	27	13	1	3	3	5	3	3	9	5	7	5	2	2	55.0	26.0	12.7	6.4	20	19.0	5.9	5	25	13	5	1	345
vir_0539	8	39	15	26	15	3	7	3	5	7	5	9	5	7	7	2	1	62.0	30.0	16.1	13.9	35	14.0	4.0	7	21	11	3	11	290
vir_0540	9	40	19	24	12	3	7	5	5	7	5	9	5	7	7	2	2	52.0	21.0	14.2	21.2	45	39.0	10.9	7	22	11	3	11	260
vir_0542	8	39	14	26	15	1	3	3	5	3	5	9	5	7	5	2	1	50.0	23.0	11.5	13.2	32	29.0	8.1	7	21	11	5	1	265
vir_0543	9	29	4	27	15	1	3	5	3	3	9	9	5	7	5	2	2	45.0	20.0	21.0	9.2	30	31.0	7.6	7	23	12	5	1	245
vir_0545	8	39	13	28	14	1	3	3	3	3	7	9	5	5	5	2	2	53.0	20.0	17.0	19.0	84	95.0	16.6	7	22	9	7	1	200
vir_0584	8	39	13	27	14	1	3	3	5	3	5	9	5	7	5	2	2	60.0	21.0	18.2	21.7	68	58.0	14.2	7	24	13	3	1	310
vir_0586	8	40	13	26	14	1	3	3	5	3	9	9	5	7	5	1	2	56.0	24.0	32.2	51.0	95	118.0	28.0	7	21	11	5	1	275
vir_0587	8	36	17	27	16	3	7	5	3	7	7	7	5	5	5	2	2	55.0	24.0	12.6	12.7	48	50.0	8.7	7	22	10	3	11	200
vir_0588	8	39	15	25	14	3	3	3	3	3	9	7	5	5	5	2	1	67.0	26.0	26.3	19.3	61	53.0	14.5	7	22	10	3	11	285
vir_0589	8	39	15	26	17	1	3	3	7	3	5	7	5	7	7	2	1	56.0	20.0	31.0	5.7	62	35.0	10.9	5	26	13	3	1	350
vir_0597	8	39	15	26	13	3	3	3	3	3	7	7	5	7	7	2	2	52.0	26.0	13.2	28.4	89	46.0	14.7	7	20	10	5	11	295
vir_0601	8	39	13	29	16	3	3	5	5	3	5	7	5	7	7	2	1	53.0	23.0	14.0	11.9	31	23.0	8.5	5	25	12	5	11	275
vir_0605	8	39	13	28	14	1	3	3	5	3	5	7	5	7	7	2	1	56.0	21.0	18.4	21.9	46	40.0	12.7	7	25	12	3	1	315
vir_0623	8	39	14	27	14	1	3	3	3	3	7	3	7	7	7	1	2	47.0	19.0	5.6	10.3	38	26.0	6.4	7	20	8	5	1	230
vir_0626	8	37	18	26	16	3	5	3	3	7	5	3	7	7	7	1	2	62.0	25.0	21.9	19.8	33	23.0	9.9	5	25	13	3	10	420
vir_0627	8	39	14	28	16	1	3	5	5	3	9	3	7	7	7	2	2	56.0	18.0	25.0	16.2	68	44.0	12.8	5	25	12	3	1	310
vir_0628	8	39	16	24	17	3	5	5	5	7	7	3	7	7	5	2	1	50.0	13.0	29.4	27.3	101	81.0	17.1	7	20	8	5	1	220
vir_0632	9	38	13	29	17	1	3	3	5	3	5	9	5	7	5	1	1	45.0	16.0	26.0	35.4	82	69.0	15.0	7	20	10	5	1	275
vir_0633	8	39	13	27	15	1	3	5	5	3	5	5	7	7	5	2	2	56.0	27.0	6.3	15.1	35	18.0	9.8	5	25	13	5	1	420
vir_0634	8	39	14	28	17	1	3	3	5	3	7	9	7	7	5	2	2	55.0	17.0	33.6	24.2	70	43.0	13.7	5	23	12	5	1	385
vir_0635	8	39	16	26	17	3	5	5	5	7	5	9	7	7	7	2	2	53.0	26.0	10.1	7.9	21	20.0	4.0	7	25	11	3	11	220
vir_0638	8	39	16	25	15	3	5	5	5	7	7	9	7	7	7	2	2	53.0	25.0	5.2	16.0	48	55.0	10.4	7	21	10	3	11	225
vir_0641	9	38	14	27	16	1	3	3	5	3	5	9	7	7	5	2	2	46.0	19.0	20.4	30.3	74	40.0	15.6	7	22	12	5	1	340
vir_0642	8	39	16	22	12	3	5	5	5	7	7	9	7	7	5	1	2	48.0	24.0	7.2	8.7	27	25.0	4.5	7	22	10	3	10	230
vir_0643	8	39	14	26	14	1	3	5	5	3	9	9	5	7	5	2	1	56.0	26.0	12.5	14.3	43	24.0	8.0	7	26	12	5	1	405
vir_0647	9	38	8	21	15	1	3	3	5	3	5	9	5	7	7	1	1	50.0	21.0	24.1	2.7	12	5.0	0.8	7	21	10	5	1	200
vir_0668	8	39	14	24	10	3	5	5	5	7	5	7	5	7	5	2	1	50.0	21.0	5.2	6.0	19	24.0	4.0	7	24	12	5	10	195
vir_0669	8	39	14	26	18	1	3	3	5	3	5	7	5	7	5	2	1	60.0	21.0	25.9	21.2	47	31.0	10.8	5	25	13	3	1	335
vir_0670	8	39	14	24	12	3	5	5	5	7	3	9	5	7	5	1	1	45.0	29.0	6.8	1.5	4	4.5	0.45	7	22	11	3	10	380
