Sample	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity
V_80	1	0	2	3.5	32.5	0.5	0	92	2	nan	nan	40.3	22	81
V_81	1	0	2	5	42.5	1	0	100	3	nan	nan	41.6	19.3	93
V_82	1	1	2	3	77.5	0.5	0	111	4	nan	nan	42.4	18.1	112
V_83	1	1	2	2	62.5	0.5	0	108	3	nan	nan	41.8	19.4	143
V_84	1	1	2	2	72.5	0.5	0	104	3	nan	nan	42.7	19.4	128
V_85	1	1	2	3	77.5	0.5	0	107	3	nan	nan	42.1	19.6	131
V_86	1	0	0	3	82.5	0	0	102	3	nan	nan	41.6	21.4	158
V_87	1	1	0	3	67.5	1	0	97	2	nan	nan	42	20.4	138
V_88	2	1	0	3	77.5	0.5	0	104	3	nan	nan	40.6	22.1	154
V_89	1	1	2	3	67.5	1	0	104	3	nan	nan	42.8	20.1	137
V_90	1	1	0	3	52.5	1	0	106	3	nan	nan	41.3	19	157
V_91	1	1	2	3	57.5	1	0	104	3	nan	nan	43.7	19.1	119
V_92	1	1	0	3	57.5	0.5	0	106	3	nan	nan	44	20.1	125
V_93	2	0	0	3	52.5	1	0	106	3	nan	nan	41.2	20.2	159
V_94	2	1	2	3	52.5	1	0	106	3	nan	nan	40.1	18.4	134
V_95	2	1	0	3	52.5	1	0	104	3	nan	nan	41.9	20	154
V_96	2	1	0	3	42.5	1	0	98	2	nan	nan	41.6	20.8	93
V_97	1	1	2	3	57.5	0.5	0	106	3	nan	nan	41.4	20.2	96
V_98	2	1	0	3	52.5	1	0	104	3	nan	nan	42.1	20.5	156
V_99	1	0	2	2	37.5	1	0	86	1	nan	nan	42.2	22.4	92
V_100	1	1	0	3	82.5	0.5	0	110	3	nan	nan	44.6	20.6	121
V_101	1	0	0	3	62.5	1	0	95	2	nan	nan	41.8	20.9	153
V_102	1	1	2	3	52.5	1	0	99	2	nan	nan	43.2	19.8	136
V_103	1	1	2	3	62.5	0	0	97	2	nan	nan	42.4	19.8	132
V_104	1	1	2	3	67.5	0.5	0	104	3	nan	nan	41.3	20.2	186
V_105	1	1	2	3	57.5	0.5	0	102	3	nan	nan	41.5	19.4	133
V_106	1	1	2	2	37.5	1	0	85	1	nan	nan	44.6	17.4	64
V_107	1	0	2	3	62.5	0.5	0	104	3	nan	nan	42.8	20.9	72
V_108	1	0	0	3	57.5	0.5	0	113	4	nan	nan	42.4	21.8	116
V_109	1	1	0	3	47.5	1	0	104	3	nan	nan	43.4	21.3	117
V_110	1	0	2	3	77.5	0.5	0	100	3	nan	nan	42.1	20.4	109
V_111	1	0	2	3	72.5	0.5	0	104	3	nan	nan	42.2	21.8	104
V_112	1	1	2	3	62.5	0	0	102	3	nan	nan	44	19.8	112
V_113	1	0	0	3	82.5	0.5	0	111	4	nan	nan	40	22.6	134
V_114	1	1	2	5	67.5	1	0	143	6	nan	nan	nan	nan	nan
V_115	1	1	2	3	52.5	1	0	104	3	nan	nan	40.8	20.7	46
V_116	1	1	2	5	77.5	1	0	131	5	nan	nan	41.6	18.3	112
V_117	2	1	2	3	72.5	0.5	0	106	3	nan	nan	39.7	21	150
V_118	1	1	2	3	62.5	1	0	113	4	nan	nan	47.4	17.2	122
V_119	1	1	2	3	67.5	1	0	113	4	nan	nan	47.7	17.3	127
V_120	1	1	2	3	62.5	1	0	111	4	nan	nan	45.1	18.3	136
V_121	1	1	2	3	62.5	1	0	107	3	nan	nan	45.1	19.3	131
V_122	1	0	2	3	87.5	0.5	0	112	4	nan	nan	42	21.2	134
V_123	1	1	0	4.5	82.5	1	0	118	4	nan	nan	38.2	22.3	132
V_124	1	1	0	3	72.5	1	0	107	3	nan	nan	42.7	21.5	137
V_125	1	1	0	4	87.5	0	0	118	4	nan	nan	39.9	21.4	132
V_126	1	1	0	4	82.5	0.5	0	118	4	nan	nan	39.6	22.9	116
V_127	1	0	2	3	102.5	0.5	0	118	4	nan	nan	40.3	20.3	119
V_128	1	1	2	3	72.5	0.5	0	102	3	nan	nan	42.4	19.4	178
V_129	1	1	2	3	52.5	1	0	102	3	nan	nan	41.1	20	137
V_130	1	1	2	2	77.5	0	0	107	3	nan	nan	42.2	21	96
V_131	2	1	0	5	52.5	0	1	112	4	nan	nan	47.4	16.5	15
V_132	2	1	0	5	62.5	0	1	116	4	nan	nan	48.9	15.4	17
V_133	1	0	2	4	72.5	0	0.5	128	5	nan	nan	48.4	15.9	24
V_134	1	1	2	5	145	0	1	130	5	nan	nan	47.6	16.7	19
V_135	2	1	2	3	102.5	0	0.5	113	4	nan	nan	41.5	19.5	104
V_136	1	0	2	3	82.5	0	0	104	3	nan	nan	37.5	17.5	127
V_137	1	1	2	3	57.5	0	0	104	3	nan	nan	40.4	14.3	85
V_138	1	0	2	4	72.5	0	0	83	1	nan	nan	39	17.2	47
V_139	1	1	2	3	77.5	0.5	0	114	4	nan	nan	39.6	20.5	116
V_140	1	1	2	4	45	1	0	133	5	nan	nan	46	16.2	51
V_141	1	1	2	5	55	1	0	137	5	nan	nan	45.9	16.8	46
V_142	1	0	0	3	57.5	0	0	92	2	10	16.2	40.4	22.4	179
V_143	1	0	0	3	72.5	0	0	90	2	10	14.7	37.6	23.3	161
V_144	1	0	0	3	57.5	1	0	109	3	5	23.4	44	22.2	258
V_145	1	1	0	4.5	92.5	0.5	0	136	5	0	10.9	39.9	19.5	120
V_146	2	0	0	2	77.5	0	0	92	2	5	17.2	39.9	22.6	190
