	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity	ilr1	ilr2
V_241	1	0	0	3.5	87.5	0.5	0	120	4	5	14.4	40.5	20.7	159	0.474587637750361	-0.238990516534878
V_242	1	1	0	5	67.5	0.5	0	118	4	0	19.3	40.1	21.9	213	0.427721606965107	-0.203025691282436
V_243	1	1	0	4	77.5	0.5	0	118	4	0	13.7	39.4	21.3	150	0.434912208419512	-0.249021719943228
V_244	1	1	2	3.5	92.5	0	1	131	5	0	12.6	39.2	21.8	139	0.414906766992646	-0.235370071406281
V_245	1	1	0	5	77.5	0	0	121	5	0	12	39.6	22	132	0.415627936643312	-0.214837947012866
V_246	2	0	0	4	72.5	1	0	125	5	0	12.4	40	21.2	136	0.448926731667474	-0.234318130605602
V_247	1	1	2	4.5	77.5	0.5	0	133	5	0	6.6	44.9	19.8	73	0.578947818654645	-0.137843482065845
V_248	1	1	2	5	72.5	1	0	133	5	0	11.3	38.8	19.2	125	0.4974566687191	-0.351913582591423
V_249	1	1	0	5	77.5	0	0	123	5	0	14.6	40.4	21.7	161	0.439479256144146	-0.2015767488384
V_250	1	1	2	3.5	102.5	0	0	143	6	0	NA	NA	NA	NA	NA	NA
V_251	1	1	0	2	72.5	0.5	0.5	98	2	40	16.6	43.2	22.2	182	0.470755071288302	-0.0905390931529562
V_252	1	1	0	3	77.5	0	0	112	4	15	21.7	41.8	22.7	239	0.431710903704573	-0.115862550468248
V_253	1	1	0	3	72.5	0.5	0	113	4	5	23.5	41.8	22.4	259	0.441118228015648	-0.128164851208929
V_254	1	1	0	3	72.5	0.5	0	112	4	10	21.6	41.7	22.7	238	0.43001723395788	-0.119137148168776
V_255	1	1	0	3	72.5	0.5	0	100	3	40	15.4	39.6	23.8	169	0.360018848022251	-0.143532661409433
V_256	1	1	0	3	82.5	0.5	0	102	3	15	15.8	43.2	22.2	174	0.470755071288302	-0.0905390931529562
V_257	1	1	0	3	72.5	0.5	0.5	100	3	30	16.9	41.4	23.3	186	0.40646443758822	-0.104524498308235
V_258	1	1	0	4	77.5	0.5	0	110	3	20	13.3	43.8	21.2	146	0.513099757356872	-0.113109730193708
V_259	1	1	0	3	72.5	0.5	0	110	3	25	15.5	41.7	22.4	171	0.439424558268954	-0.131420229160441
V_260	1	1	0	3	87.5	0.5	0	110	3	20	15.8	42.7	22.6	174	0.449895992291781	-0.0903578176005446
V_261	1	1	0	3	77.5	0.5	0	110	3	25	15.5	42.6	23.3	171	0.426668863004781	-0.0646204603217124
V_262	1	1	0	3	72.5	0.5	0	110	3	25	15.8	41.7	23.9	173	0.393591664425322	-0.0701099245352848
V_263	1	1	0	3	72.5	0.5	0	102	3	15	19.4	42.4	22.4	213	0.451195929917535	-0.108546216571249
V_264	1	1	0	3	77.5	0	0	98	2	40	13.1	42.7	23.8	144	0.413313346094855	-0.0405008337113149
V_265	1	1	0	3	77.5	0.5	0	102	3	10	18.8	41.3	23.9	206	0.386776124612795	-0.0834842502439113
V_266	1	1	0	3	77.5	0.5	0	102	3	20	16.3	41.1	23.2	180	0.404363144326188	-0.11844955801573
V_267	1	1	0	3	72.5	0.5	0	110	3	15	17	40.7	23.6	187	0.385360029713255	-0.115463464962183
V_268	1	1	0	3	77.5	0.5	0	110	3	15	16.9	40.3	24.6	186	0.349031461122487	-0.0887141290111209
V_269	1	1	0	3	77.5	0.5	0	109	3	10	20.7	43.1	20.9	228	0.511785388993456	-0.148506733658917
V_270	1	1	0	4	87.5	0.5	0	111	4	15	16.2	40.3	22.9	178	0.399667047064656	-0.156566204029574
V_271	1	0	0	3	72.5	0.5	0	96	2	30	13.9	40.8	23.1	153	0.402237313385554	-0.132301444696636
V_272	2	1	0	3	67.5	0	0	97	2	0	17.3	39.6	23.5	190	0.368988610344449	-0.155376671326647
V_273	1	1	0	3	82.5	0	0	100	3	5	18.6	39.5	23.6	204	0.364198147704958	-0.15467536423477
V_274	2	1	0	4	105	0	0	113	4	5	23.8	39.1	22	262	0.406642977364749	-0.230588261315761
V_275	1	0	0	3	87.5	0	0	110	3	5	24.1	40.9	22	265	0.438468153741867	-0.173530599208283
V_276	1	1	0	3	87.5	0	0	110	3	15	17.4	39.7	21.6	192	0.430386109423019	-0.227653412034543
V_277	1	0	0	3	87.5	0	0	113	4	0	23.2	39.3	23.5	255	0.363611346550953	-0.165092580495312
V_278	1	1	0	3	77.5	0.5	0	113	4	10	20.4	38.2	22.7	225	0.36802828439278	-0.23149494524458
V_279	1	1	0	3	87.5	0.5	0	110	3	5	17.4	43.9	21.4	191	0.508072767204703	-0.101316665043354
V_280	1	0	0	3	92.5	0	0.5	111	4	5	21.1	40.7	22	232	0.435001937089284	-0.179921597463772
V_281	2	0	0	3	77.5	0	0	109	3	20	20.8	39.6	23.7	228	0.362996144131106	-0.14747942700469
V_282	1	1	0	3	87.5	0.5	0	111	4	5	26	41.6	21.9	286	0.453689278278533	-0.155149748312646
V_283	1	1	0	3	77.5	0.5	0	111	4	10	18.8	39.9	22.7	206	0.398816285188236	-0.177424772542216
V_284	1	0	0	3	97.5	0	0.5	110	3	5	16.8	38.7	23.2	185	0.361817574783291	-0.196137455554896
V_285	1	0	0	3	97.5	0.5	0	113	4	0	16.8	39.9	23	185	0.389532474177571	-0.16548891482241
V_286	1	0	0	4.5	105	0	0	113	4	0	21.9	37.9	23.7	241	0.331969708421901	-0.202364088446715
V_287	1	1	0	3	82.5	0	0	110	3	5	17.4	39.7	22.9	192	0.389060246466364	-0.175895127488097
V_288	1	1	0	3	87.5	0	0	111	4	5	20.2	41.8	22.6	223	0.434832793019302	-0.119961731120843
V_289	1	1	0	3	67.5	0.5	0	111	4	5	23.9	40.2	22.2	263	0.419862121637674	-0.187814142779699
V_290	1	1	0	3	82.5	0.5	0	110	3	0	19	41.4	23.6	209	0.397418172016815	-0.0923329157765789
V_291	1	1	0	3	72.5	0.5	0	110	3	0	15.7	42.4	23.6	173	0.414295029969297	-0.0589208325481119
V_292	1	1	0	4	72.5	0.5	0	98	2	5	17.9	40.2	23.3	197	0.385665679897808	-0.14382757307649
V_293	1	1	0	3	72.5	0.5	0	98	2	0	16.9	40.2	23.5	186	0.379621995403567	-0.135851993970149
V_294	1	1	0	3	72.5	0.5	0	98	2	0	17.3	40.7	23.3	190	0.39440629528466	-0.127518976069321
V_295	1	1	0	2.5	77.5	0.5	0	98	2	5	17.4	41.8	21.9	192	0.457080684209787	-0.14870546294861
V_296	1	1	0	3	57.5	0.5	0	98	2	0	18.9	42.6	23	208	0.435832362059874	-0.0770628495630072
V_297	1	1	0	3	62.5	0.5	0	98	2	0	18.9	42.4	23.1	208	0.429437081405915	-0.0795829698341475
V_298	1	1	0	3	82.5	0.5	0	98	2	0	19.6	41.4	23.2	216	0.409505761765717	-0.108590159056432
V_299	1	1	0	3	72.5	0.5	0	98	2	0	19.6	42.4	22.3	216	0.454359723925713	-0.11268913780422
V_300	1	1	0	3	72.5	0.5	0	98	2	0	22.2	41.8	22.8	244	0.428602737024527	-0.111764813710667
V_301	1	1	0	3	72.5	0.5	0	98	2	0	20.1	42.2	22.6	221	0.441567194219128	-0.106847574544451
V_302	1	1	0	3	72.5	0.5	0	98	2	0	20.7	42.5	22.4	228	0.452861671044007	-0.10526160679461
V_303	1	1	0	3	72.5	0.5	0	98	2	0	18.5	43.6	23.3	203	0.443075788872985	-0.0308456298141264
V_304	1	1	0	3	77.5	0.5	0	98	2	5	16.7	42.3	23.2	184	0.42471294531505	-0.0787834625226322
V_305	1	1	0	3	72.5	0.5	0	98	2	0	16.5	42.6	22.9	182	0.438913442233963	-0.0812118053668933
V_306	1	1	0	3	72.5	0.5	0	98	2	5	15.8	43.1	22.7	174	0.453367220963756	-0.0728981891294511
V_307	1	1	0	3	77.5	0.5	0	98	2	5	15.7	42.9	22.2	172	0.465827477959046	-0.100432975614356
V_308	1	1	0	3	82.5	0.5	0	98	2	5	17.9	39.8	23.6	197	0.369548287588088	-0.144921144307117
V_309	1	1	0	3	77.5	0.5	0	109	3	5	22.1	41.3	22.5	243	0.4294593171186	-0.140331442292762
V_310	1	1	0	3	82.5	0.5	0	107	3	5	19.8	43.4	22.1	218	0.477213520318797	-0.0881332935075982
V_311	1	1	1	3.5	57.5	1	0	109	3	5	20.6	42.8	22.8	227	0.445319988001366	-0.0787161860051211
V_312	1	1	0	4	77.5	1	0	109	3	5	21.1	41.4	22.5	232	0.431169370627225	-0.137085505920304
V_313	1	1	0	4	77.5	1	0	110	3	5	22.9	41.5	23.7	252	0.396134214803811	-0.0849427105364025
V_314	1	1	0	4	77.5	0.5	0	110	3	5	20.8	40.7	23.3	229	0.39440629528466	-0.127518976069321
V_315	1	1	0	4	67.5	1	0	109	3	5	20.1	42.1	22	221	0.45891603969698	-0.13487886524743
V_316	1	1	0	4	77.5	0.5	0	111	4	5	19	39.9	22.7	210	0.398816285188236	-0.177424772542216
V_317	1	1	1	4	72.5	1	0	114	4	10	16.7	42.3	22.8	184	0.437010764523265	-0.0952957803117433
V_318	1	1	0	4	67.5	1	0	112	4	5	20.1	40.5	24.2	221	0.364124170953184	-0.0980250361573454
V_319	1	1	0	4	87.5	1	0	111	4	0	21.8	38.9	23	239	0.371584638046778	-0.197567717577741
V_320	1	1	0	4	82.5	1	0	118	4	5	18.7	42.2	21.3	205	0.483458203568133	-0.160644570396299
V_321	1	1	0	3.5	62.5	1	0	119	4	0	19	38.5	24.6	209	0.31672146999058	-0.148201648498612
V_322	1	1	1	3.5	82.5	0.5	0	112	4	5	17.3	39.6	23.6	191	0.365986029267284	-0.15142739876768
V_323	1	1	0	3.5	72.5	1	0	115	4	5	19.5	41.8	22.6	215	0.434832793019302	-0.119961731120843
V_324	1	1	0	3.5	95	0.5	0	115	4	0	19.8	39.6	24	218	0.354101601933566	-0.135642372725142
V_325	1	1	0	4.5	87.5	1	0	118	4	0	18.6	38.7	22.9	204	0.371020829834975	-0.207854884916943
V_326	1	1	0	5	77.5	1	0	118	4	0	20.8	41.3	21.2	229	0.471542160273167	-0.193435463734341
V_327	1	1	0	4.5	105	1	0	131	5	0	11.6	40.5	20.2	127	0.491877173443353	-0.259427279131508
V_328	1	1	0	4.5	102.5	0.5	0	114	4	5	16.5	40.5	23.1	181	0.397018789469521	-0.142071612535
V_329	1	1	0	4.5	87.5	1	0	129	5	0	16.5	41.6	21.2	182	0.476659963901132	-0.183922457703835
V_330	1	1	0	4	77.5	1	0	116	4	10	17.5	42.1	21.7	192	0.468624752141275	-0.147278933292775
